 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 iter   146 lrate =  1.0000000000 LL =  -3.4050499549 nd =  0.0014443215, D =   0.42252E-01  0.42252E-01  (  0.02 s,   0.0 h)
 iter   147 lrate =  1.0000000000 LL =  -3.4049453851 nd =  0.0014101609, D =   0.42338E-01  0.42338E-01  (  0.02 s,   0.0 h)
 iter   148 lrate =  1.0000000000 LL =  -3.4048436855 nd =  0.0013778455, D =   0.42433E-01  0.42433E-01  (  0.02 s,   0.0 h)
 iter   149 lrate =  1.0000000000 LL =  -3.4047435772 nd =  0.0013447818, D =   0.42526E-01  0.42526E-01  (  0.04 s,   0.0 h)
 iter   150 lrate =  1.0000000000 LL =  -3.4046522235 nd =  0.0013148185, D =   0.42638E-01  0.42638E-01  (  0.04 s,   0.0 h)
 iter   151 lrate =  1.0000000000 LL =  -3.4045647629 nd =  0.0012896676, D =   0.42751E-01  0.42751E-01  (  0.03 s,   0.0 h)
 iter   152 lrate =  1.0000000000 LL =  -3.4044817782 nd =  0.0012627852, D =   0.42856E-01  0.42856E-01  (  0.02 s,   0.0 h)
 iter   153 lrate =  1.0000000000 LL =  -3.4044052481 nd =  0.0012361893, D =   0.42986E-01  0.42986E-01  (  0.02 s,   0.0 h)
 iter   154 lrate =  1.0000000000 LL =  -3.4043310972 nd =  0.0012087751, D =   0.43108E-01  0.43108E-01  (  0.02 s,   0.0 h)
 iter   155 lrate =  1.0000000000 LL =  -3.4042585021 nd =  0.0011815136, D =   0.43218E-01  0.43218E-01  (  0.02 s,   0.0 h)
 iter   156 lrate =  1.0000000000 LL =  -3.4041881886 nd =  0.0011611283, D =   0.43323E-01  0.43323E-01  (  0.02 s,   0.0 h)
 iter   157 lrate =  1.0000000000 LL =  -3.4041199727 nd =  0.0011406798, D =   0.43441E-01  0.43441E-01  (  0.02 s,   0.0 h)
 iter   158 lrate =  1.0000000000 LL =  -3.4040539775 nd =  0.0011259761, D =   0.43561E-01  0.43561E-01  (  0.02 s,   0.0 h)
 iter   159 lrate =  1.0000000000 LL =  -3.4039887282 nd =  0.0011118667, D =   0.43675E-01  0.43675E-01  (  0.02 s,   0.0 h)
 iter   160 lrate =  1.0000000000 LL =  -3.4039245356 nd =  0.0010971612, D =   0.43806E-01  0.43806E-01  (  0.02 s,   0.0 h)
 iter   161 lrate =  1.0000000000 LL =  -3.4038611805 nd =  0.0010828895, D =   0.43943E-01  0.43943E-01  (  0.12 s,   0.1 h)
 iter   162 lrate =  1.0000000000 LL =  -3.4038006993 nd =  0.0010740604, D =   0.44088E-01  0.44088E-01  (  0.02 s,   0.0 h)
 iter   163 lrate =  1.0000000000 LL =  -3.4037441498 nd =  0.0010627490, D =   0.44245E-01  0.44245E-01  (  0.02 s,   0.0 h)
 iter   164 lrate =  1.0000000000 LL =  -3.4036885904 nd =  0.0010527685, D =   0.44397E-01  0.44397E-01  (  0.02 s,   0.0 h)
 iter   165 lrate =  1.0000000000 LL =  -3.4036330920 nd =  0.0010463938, D =   0.44553E-01  0.44553E-01  (  0.02 s,   0.0 h)
 iter   166 lrate =  1.0000000000 LL =  -3.4035784341 nd =  0.0010403318, D =   0.44704E-01  0.44704E-01  (  0.02 s,   0.0 h)
 iter   167 lrate =  1.0000000000 LL =  -3.4035243745 nd =  0.0010342852, D =   0.44858E-01  0.44858E-01  (  0.10 s,   0.1 h)
 iter   168 lrate =  1.0000000000 LL =  -3.4034705708 nd =  0.0010271427, D =   0.45018E-01  0.45018E-01  (  0.05 s,   0.0 h)
 iter   169 lrate =  1.0000000000 LL =  -3.4034169831 nd =  0.0010220126, D =   0.45187E-01  0.45187E-01  (  0.04 s,   0.0 h)
 iter   170 lrate =  1.0000000000 LL =  -3.4033634795 nd =  0.0010152748, D =   0.45356E-01  0.45356E-01  (  0.02 s,   0.0 h)
